"","game_id","home_team.x","away_team.x","score_differential.x","home_team.y","away_team.y","score_differential.y","home_team.x.x","away_team.x.x","score_differential.x.x","home_team.y.y","away_team.y.y","score_differential.y.y","home_team_win"
"156","2020_11_KC_LV","LV","KC",7,"LV","KC",3,"LV","KC",-4,"LV","KC",-4,0
"157","2020_11_LA_TB","TB","LA",-7,"TB","LA",-3,"TB","LA",-7,"TB","LA",-3,0
"158","2020_11_MIA_DEN","DEN","MIA",0,"DEN","MIA",3,"DEN","MIA",10,"DEN","MIA",7,1
"159","2020_11_NE_HOU","HOU","NE",0,"HOU","NE",11,"HOU","NE",7,"HOU","NE",7,1
"160","2020_11_NYJ_LAC","LAC","NYJ",1,"LAC","NYJ",18,"LAC","NYJ",12,"LAC","NYJ",6,1
"161","2020_11_PHI_CLE","CLE","PHI",0,"CLE","PHI",7,"CLE","PHI",5,"CLE","PHI",5,1
"162","2020_11_PIT_JAX","JAX","PIT",3,"JAX","PIT",-14,"JAX","PIT",-14,"JAX","PIT",-24,0
"163","2020_11_TEN_BAL","BAL","TEN",-4,"BAL","TEN",4,"BAL","TEN",8,"BAL","TEN",0,0
"164","2020_12_ARI_NE","NE","ARI",-10,"NE","ARI",-3,"NE","ARI",7,"NE","ARI",3,1
"165","2020_12_BAL_PIT","PIT","BAL",-1,"PIT","BAL",5,"PIT","BAL",5,"PIT","BAL",5,1
"166","2020_12_CAR_MIN","MIN","CAR",7,"MIN","CAR",3,"MIN","CAR",-11,"MIN","CAR",1,1
"167","2020_12_CHI_GB","GB","CHI",3,"GB","CHI",17,"GB","CHI",31,"GB","CHI",16,1
